source_mat_id,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample,ref_code,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_AAOT_Wa_210622_3um_1,EMO BON AAOT Wa 210622 3um_1,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-22,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,<class 'float'>,1,5.0,<class 'float'>,3-200,3.0,200.0,True,Niskin,WaSOP 1,,2021-06-22,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,,,False,2021-10-11,,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00048,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_210622_3um_2,EMO BON AAOT Wa 210622 3um_2,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-22,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,<class 'float'>,2,5.0,<class 'float'>,3-200,3.0,200.0,True,Niskin,WaSOP 1,,2021-06-22,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,,,False,2021-10-11,,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00049,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_210622_0.2um_1,EMO BON AAOT Wa 210622 0.22um_1,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-22,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,<class 'float'>,1,5.0,<class 'float'>,0.2-3,0.2,3.0,True,Niskin,WaSOP 1,,2021-06-22,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,,,False,2021-10-11,,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00050,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_210622_0.2um_2,EMO BON AAOT Wa 210622 0.22um_2,EMOBON metagenome water sample from station AAOT collected on 2021-06-22 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-22,AAOT_Wa_210622,Mauro Bastianini,0000-0001-6758-4192,high_tide,<class 'float'>,2,5.0,<class 'float'>,0.2-3,0.2,3.0,True,Niskin,WaSOP 1,,2021-06-22,"DeepFreezer No2, second shelf, drawer 1",-78,Mauro Bastianini,0000-0001-6758-4192,,,False,2021-10-11,,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00051,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_210809_3um_1,EMO BON AAOT Wa 210809 3um_1,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,<class 'float'>,1,5.0,<class 'float'>,3-200,3.0,200.0,True,Niskin,WaSOP 1,,2021-08-09,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,,,False,2021-10-11,,-70.0,2021-11-24,2021-11-24,True,low yields; seq library prep failed,,EMOBON00052,0.08,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,26.16,Seabird SBE 911plus CTD system,19.02,Seabird SBE 911plus CTD system,35.57,Seabird SBE 911plus CTD system,37.73,Seabird SBE 911plus CTD system,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,,,,,,,,,,,,,,0.08,,,,,,,,0.08,,,,,,1.25,,,
EMOBON_AAOT_Wa_210809_3um_2,EMO BON AAOT Wa 210809 3um_2,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,<class 'float'>,2,5.0,<class 'float'>,3-200,3.0,200.0,True,Niskin,WaSOP 1,,2021-08-09,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,,,False,2021-10-11,,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00053,0.08,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,26.16,Seabird SBE 911plus CTD system,19.02,Seabird SBE 911plus CTD system,35.57,Seabird SBE 911plus CTD system,37.73,Seabird SBE 911plus CTD system,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,,,,,,,,,,,,,,0.08,,,,,,,,0.08,,,,,,1.25,,,
EMOBON_AAOT_Wa_210809_0.2um_1,EMO BON AAOT Wa 210809 0.22um_1,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,<class 'float'>,1,5.0,<class 'float'>,0.2-3,0.2,3.0,True,Niskin,WaSOP 1,,2021-08-09,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,,,False,2021-10-11,,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00054,0.08,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,26.16,Seabird SBE 911plus CTD system,19.02,Seabird SBE 911plus CTD system,35.57,Seabird SBE 911plus CTD system,37.73,Seabird SBE 911plus CTD system,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,,,,,,,,,,,,,,0.08,,,,,,,,0.08,,,,,,1.25,,,
EMOBON_AAOT_Wa_210809_0.2um_2,EMO BON AAOT Wa 210809 0.22um_2,EMOBON metagenome water sample from station AAOT collected on 2021-08-09 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-09,AAOT_Wa_210809,Mauro Bastianini,0000-0001-6758-4192,flood_tide,<class 'float'>,2,5.0,<class 'float'>,0.2-3,0.2,3.0,True,Niskin,WaSOP 1,,2021-08-09,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,,,False,2021-10-11,,-70.0,2021-11-24,2021-11-24,False,,,EMOBON00055,0.08,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,26.16,Seabird SBE 911plus CTD system,19.02,Seabird SBE 911plus CTD system,35.57,Seabird SBE 911plus CTD system,37.73,Seabird SBE 911plus CTD system,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_AAOT_Wa_211015_3um_1,EMO BON AAOT Wa 211015 3um_1,EMOBON metagenome water sample from station AAOT collected on 2021-10-15 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-15,AAOT_Wa_211015,Mauro Bastianini,0000-0001-6758-4192,high_tide,<class 'float'>,1,5.0,<class 'float'>,3-200,3.0,200.0,True,Niskin,WaSOP 1,,2021-10-15,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,,,False,2022-01-12,,-70.0,2022-02-22,2022-02-23,False,,,EMOBON00162,0.23,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,18.21,Seabird SBE 911plus CTD system,18.75,Seabird SBE 911plus CTD system,36.4,Seabird SBE 911plus CTD system,37.34,Seabird SBE 911plus CTD system,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,0.64,,,,,,,,,,,,,,0.09,,,,,,,,2.91,,,,,,2.5,,,
EMOBON_AAOT_Wa_211015_3um_2,EMO BON AAOT Wa 211015 3um_2,EMOBON metagenome water sample from station AAOT collected on 2021-10-15 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-15,AAOT_Wa_211015,Mauro Bastianini,0000-0001-6758-4192,high_tide,<class 'float'>,2,5.0,<class 'float'>,3-200,3.0,200.0,True,Niskin,WaSOP 1,,2021-10-15,"DeepFreezer No2, second shelf, drawer 2",-78,Mauro Bastianini,0000-0001-6758-4192,,,False,2022-01-12,,-70.0,2022-02-22,2022-02-23,False,,,EMOBON00163,0.23,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,18.21,Seabird SBE 911plus CTD system,18.75,Seabird SBE 911plus CTD system,36.4,Seabird SBE 911plus CTD system,37.34,Seabird SBE 911plus CTD system,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,0.64,,,,,,,,,,,,,,0.09,,,,,,,,2.91,,,,,,2.5,,,
