source_mat_id,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample,ref_code,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_NRMCB_Wa_210621_3um_1,EMOBON_NRMCBWa_20210621_3um_1,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,<class 'float'>,1,5.0,<class 'float'>,3-200,3.0,200.0,True,Niskin,Wa SOP1,no DNA Shield. shipped in dry ice,2021-06-21,Casotti minus80,-80,Casotti,,Anna Chiara Trano,,False,2021-10-18,2021-10-20,-70.0,2021-11-24,2021-11-24,,,,EMOBON00056,1.66,spectrofluorometry,25.0217,CTD SBE 19plusV2,25.0217,CTD SBE 19plusV2,37.5864,CTD SBE 19plusV2,37.5934,CTD SBE 19plusV2,,,1.73,segmented continuous-flow autoanalyzer,,,,,,56.5917,CTD SBE 19plusV2,25.2822,CTD SBE 19plusV2,,,,,,,,,,,4.7913,SBE 43,,,0.64,segmented continuous-flow autoanalyzer,0.09,segmented continuous-flow autoanalyzer,phytoplankton: 7.22E+06; diatoms: 3.72E+06; dinoflagellates: 2.33E+05; coccolitrophores: 0.00E+00; other flagellates: 3.27E+06,phytoplankton: Utermöhl (Phytoplankton) Sedimentation Chamber; diatoms: Utermöhl (Phytoplankton) Sedimentation Chamber; dinoflagellates: Utermöhl (Phytoplankton) Sedimentation Chamber; coccolithophores: Utermöhl (Phytoplankton) Sedimentation Chamber; other flagellates: Utermöhl (Phytoplankton) Sedimentation Chamber,8.227,SBE18,,,,,,,0.61,spectrofluorometry,0.09,segmented continuous-flow autoanalyzer,1.2959,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,0.8,segmented continuous-flow autoanalyzer,,,,,0.4101,Turner Cyclops 7 turb,,
EMOBON_NRMCB_Wa_210621_3um_2,EMOBON_NRMCBWa_20210621_3um_2,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,<class 'float'>,2,5.0,<class 'float'>,3-200,3.0,200.0,True,Niskin,Wa SOP1,no DNA Shield. shipped in dry ice,2021-06-21,Casotti minus80,-80,Casotti,,Anna Chiara Trano,,False,2021-10-18,2021-10-20,-70.0,2021-11-24,2021-11-24,,,,EMOBON00057,1.66,spectrofluorometry,25.0217,CTD SBE 19plusV2,25.0217,CTD SBE 19plusV2,37.5864,CTD SBE 19plusV2,37.5934,CTD SBE 19plusV2,,,1.73,segmented continuous-flow autoanalyzer,,,,,,56.5917,CTD SBE 19plusV2,25.2822,CTD SBE 19plusV2,,,,,,,,,,,4.7913,SBE 43,,,0.64,segmented continuous-flow autoanalyzer,0.09,segmented continuous-flow autoanalyzer,phytoplankton: 7.22E+06; diatoms: 3.72E+06; dinoflagellates: 2.33E+05; coccolitrophores: 0.00E+00; other flagellates: 3.27E+06,phytoplankton: Utermöhl (Phytoplankton) Sedimentation Chamber; diatoms: Utermöhl (Phytoplankton) Sedimentation Chamber; dinoflagellates: Utermöhl (Phytoplankton) Sedimentation Chamber; coccolithophores: Utermöhl (Phytoplankton) Sedimentation Chamber; other flagellates: Utermöhl (Phytoplankton) Sedimentation Chamber,8.227,SBE18,,,,,,,0.61,spectrofluorometry,0.09,segmented continuous-flow autoanalyzer,1.2959,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,0.8,segmented continuous-flow autoanalyzer,,,,,0.4101,Turner Cyclops 7 turb,,
EMOBON_NRMCB_Wa_210621_0.2um_1,EMOBON_NRMCBWa_20210621_0.22um_1,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,<class 'float'>,1,5.0,<class 'float'>,0.2-3,0.2,3.0,True,Niskin,Wa SOP1,no DNA Shield. shipped in dry ice,2021-06-21,Casotti minus80,-80,Casotti,,Anna Chiara Trano,,False,2021-10-18,2021-10-20,-70.0,2021-11-24,2021-11-24,True,low yields; seq library prep failed twice,,EMOBON00059,1.66,spectrofluorometry,25.0217,CTD SBE 19plusV2,25.0217,CTD SBE 19plusV2,37.5864,CTD SBE 19plusV2,37.5934,CTD SBE 19plusV2,,,1.73,segmented continuous-flow autoanalyzer,,,,,,56.5917,CTD SBE 19plusV2,25.2822,CTD SBE 19plusV2,,,,,,,,,,,4.7913,SBE 43,,,0.64,segmented continuous-flow autoanalyzer,0.09,segmented continuous-flow autoanalyzer,phytoplankton: 7.22E+06; diatoms: 3.72E+06; dinoflagellates: 2.33E+05; coccolitrophores: 0.00E+00; other flagellates: 3.27E+06,phytoplankton: Utermöhl (Phytoplankton) Sedimentation Chamber; diatoms: Utermöhl (Phytoplankton) Sedimentation Chamber; dinoflagellates: Utermöhl (Phytoplankton) Sedimentation Chamber; coccolithophores: Utermöhl (Phytoplankton) Sedimentation Chamber; other flagellates: Utermöhl (Phytoplankton) Sedimentation Chamber,8.227,SBE18,,,,,,,0.61,spectrofluorometry,0.09,segmented continuous-flow autoanalyzer,1.2959,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,0.8,segmented continuous-flow autoanalyzer,,,,,0.4101,Turner Cyclops 7 turb,,
EMOBON_NRMCB_Wa_210621_0.2um_2,EMOBON_NRMCBWa_20210621_0.22um_2,EMOBON metagenome water sample from station NRMCB collected on 2021-06-21 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21,NRMCB_Wa_210621,Raffaella Casotti,0000-0002-9876-4601,no_tide,<class 'float'>,2,5.0,<class 'float'>,0.2-3,0.2,3.0,True,Niskin,Wa SOP1,no DNA Shield. shipped in dry ice,2021-06-21,Casotti minus80,-80,Casotti,,Anna Chiara Trano,,False,2021-10-18,2021-10-20,-70.0,2021-11-24,2021-11-24,True,low yields; seq library prep failed twice,,EMOBON00060,1.66,spectrofluorometry,25.0217,CTD SBE 19plusV2,25.0217,CTD SBE 19plusV2,37.5864,CTD SBE 19plusV2,37.5934,CTD SBE 19plusV2,,,1.73,segmented continuous-flow autoanalyzer,,,,,,56.5917,CTD SBE 19plusV2,25.2822,CTD SBE 19plusV2,,,,,,,,,,,4.7913,SBE 43,,,0.64,segmented continuous-flow autoanalyzer,0.09,segmented continuous-flow autoanalyzer,phytoplankton: 7.22E+06; diatoms: 3.72E+06; dinoflagellates: 2.33E+05; coccolitrophores: 0.00E+00; other flagellates: 3.27E+06,phytoplankton: Utermöhl (Phytoplankton) Sedimentation Chamber; diatoms: Utermöhl (Phytoplankton) Sedimentation Chamber; dinoflagellates: Utermöhl (Phytoplankton) Sedimentation Chamber; coccolithophores: Utermöhl (Phytoplankton) Sedimentation Chamber; other flagellates: Utermöhl (Phytoplankton) Sedimentation Chamber,8.227,SBE18,,,,,,,0.61,spectrofluorometry,0.09,segmented continuous-flow autoanalyzer,1.2959,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,0.8,segmented continuous-flow autoanalyzer,,,,,0.4101,Turner Cyclops 7 turb,,
EMOBON_NRMCB_Wa_210831_3um_1,EMOBON_NRMCBWa_20210831_3um_1,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-31,NRMCB_Wa_210831,Raffaella Casotti,0000-0002-9876-4601,no_tide,<class 'float'>,1,5.0,<class 'float'>,3-200,3.0,,True,Niskin,Wa SOP1,,2021-08-31,Casotti minus80,-80,Casotti,,Anna Chiara Trano,,False,2021-10-18,2021-10-20,-70.0,2021-11-24,2021-11-24,,,,EMOBON00062,1.71,spectrofluorometry,26.8119,CTD SBE911plusV2,26.8072,CTD SBE911plusV2,37.9887,CTD SBE911plusV2,37.9916,CTD SBE911plusV2,,,0.41,segmented continuous-flow autoanalyzer,,,,,,46.07,CTD SBE911plusV2,25.0316,CTD SBE911plusV2,,,,,,,,,,,4.607,SBE 43,,,0.01,segmented continuous-flow autoanalyzer,0.05,segmented continuous-flow autoanalyzer,phytoplankton: 4.46E+06; diatoms: 2.76E+06; dinoflagellates: 7.25E+04; coccolitrophores: 0.00E+00; other flagellates: 1.63E+06,phytoplankton: Utermöhl (Phytoplankton) Sedimentation Chamber; diatoms: Utermöhl (Phytoplankton) Sedimentation Chamber; dinoflagellates: Utermöhl (Phytoplankton) Sedimentation Chamber; coccolithophores: Utermöhl (Phytoplankton) Sedimentation Chamber; other flagellates: Utermöhl (Phytoplankton) Sedimentation Chamber,,SBE27,,,,,,,0.51,spectrofluorometry,0.1,segmented continuous-flow autoanalyzer,1.2505,this is not pigments but fluorescense. WetLabs ECO-FL,,,,,0.31,segmented continuous-flow autoanalyzer,,,,,0.2925,Turner Cyclops 7 turb,,
EMOBON_NRMCB_Wa_210831_3um_2,EMOBON_NRMCBWa_20210831_3um_2,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-31,NRMCB_Wa_210831,Raffaella Casotti,0000-0002-9876-4601,no_tide,<class 'float'>,2,5.0,<class 'float'>,3-200,3.0,,True,Niskin,Wa SOP1,,2021-08-31,Casotti minus80,-80,Casotti,,Anna Chiara Trano,,False,2021-10-18,2021-10-20,-70.0,2021-11-24,2021-11-24,,,,EMOBON00063,1.71,spectrofluorometry,26.8119,CTD SBE911plusV2,26.8072,CTD SBE911plusV2,37.9887,CTD SBE911plusV2,37.9916,CTD SBE911plusV2,,,0.41,segmented continuous-flow autoanalyzer,,,,,,46.07,CTD SBE911plusV2,25.0316,CTD SBE911plusV2,,,,,,,,,,,4.607,SBE 43,,,0.01,segmented continuous-flow autoanalyzer,0.05,segmented continuous-flow autoanalyzer,phytoplankton: 4.46E+06; diatoms: 2.76E+06; dinoflagellates: 7.25E+04; coccolitrophores: 0.00E+00; other flagellates: 1.63E+06,phytoplankton: Utermöhl (Phytoplankton) Sedimentation Chamber; diatoms: Utermöhl (Phytoplankton) Sedimentation Chamber; dinoflagellates: Utermöhl (Phytoplankton) Sedimentation Chamber; coccolithophores: Utermöhl (Phytoplankton) Sedimentation Chamber; other flagellates: Utermöhl (Phytoplankton) Sedimentation Chamber,,SBE27,,,,,,,0.51,spectrofluorometry,0.1,segmented continuous-flow autoanalyzer,1.2505,this is not pigments but fluorescense. WetLabs ECO-FL,,,,,0.31,segmented continuous-flow autoanalyzer,,,,,0.2925,Turner Cyclops 7 turb,,
EMOBON_NRMCB_Wa_210831_3um_blank,EMOBON_NRMCBWa_20210831_3um_(blank),EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 3-200um,32644,unidentified,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-31,NRMCB_Wa_210831,Raffaella Casotti,0000-0002-9876-4601,no_tide,<class 'float'>,blank,5.0,<class 'float'>,3-200,3.0,,True,Niskin,Wa SOP1,,2021-08-31,Casotti minus80,-80,Casotti,,Anna Chiara Trano,,False,2021-10-18,2021-10-20,-70.0,2021-11-24,2021-11-24,,,,EMOBON00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_NRMCB_Wa_210831_0.2um_1,EMOBON_NRMCBWa_20210831_0.22um_1,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-31,NRMCB_Wa_210831,Raffaella Casotti,0000-0002-9876-4601,no_tide,<class 'float'>,1,5.0,<class 'float'>,0.2-3,0.2,3.0,True,Niskin,Wa SOP1,,2021-08-31,Casotti minus80,-80,Casotti,,Anna Chiara Trano,,False,2021-10-18,2021-10-20,-70.0,2021-11-24,2021-11-24,,,,EMOBON00065,1.71,spectrofluorometry,26.8119,CTD SBE911plusV2,26.8072,CTD SBE911plusV2,37.9887,CTD SBE911plusV2,37.9916,CTD SBE911plusV2,,,0.41,segmented continuous-flow autoanalyzer,,,,,,46.07,CTD SBE911plusV2,25.0316,CTD SBE911plusV2,,,,,,,,,,,4.607,SBE 43,,,0.01,segmented continuous-flow autoanalyzer,0.05,segmented continuous-flow autoanalyzer,phytoplankton: 4.46E+06; diatoms: 2.76E+06; dinoflagellates: 7.25E+04; coccolitrophores: 0.00E+00; other flagellates: 1.63E+06,phytoplankton: Utermöhl (Phytoplankton) Sedimentation Chamber; diatoms: Utermöhl (Phytoplankton) Sedimentation Chamber; dinoflagellates: Utermöhl (Phytoplankton) Sedimentation Chamber; coccolithophores: Utermöhl (Phytoplankton) Sedimentation Chamber; other flagellates: Utermöhl (Phytoplankton) Sedimentation Chamber,,SBE27,,,,,,,0.51,spectrofluorometry,0.1,segmented continuous-flow autoanalyzer,1.2505,this is not pigments but fluorescense. WetLabs ECO-FL,,,,,0.31,segmented continuous-flow autoanalyzer,,,,,0.2925,Turner Cyclops 7 turb,,
EMOBON_NRMCB_Wa_210831_0.2um_2,EMOBON_NRMCBWa_20210831_0.22um_2,EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-31,NRMCB_Wa_210831,Raffaella Casotti,0000-0002-9876-4601,no_tide,<class 'float'>,2,5.0,<class 'float'>,0.2-3,0.2,3.0,True,Niskin,Wa SOP1,,2021-08-31,Casotti minus80,-80,Casotti,,Anna Chiara Trano,,False,2021-10-18,2021-10-20,-70.0,2021-11-24,2021-11-24,,,,EMOBON00066,1.71,spectrofluorometry,26.8119,CTD SBE911plusV2,26.8072,CTD SBE911plusV2,37.9887,CTD SBE911plusV2,37.9916,CTD SBE911plusV2,,,0.41,segmented continuous-flow autoanalyzer,,,,,,46.07,CTD SBE911plusV2,25.0316,CTD SBE911plusV2,,,,,,,,,,,4.607,SBE 43,,,0.01,segmented continuous-flow autoanalyzer,0.05,segmented continuous-flow autoanalyzer,phytoplankton: 4.46E+06; diatoms: 2.76E+06; dinoflagellates: 7.25E+04; coccolitrophores: 0.00E+00; other flagellates: 1.63E+06,phytoplankton: Utermöhl (Phytoplankton) Sedimentation Chamber; diatoms: Utermöhl (Phytoplankton) Sedimentation Chamber; dinoflagellates: Utermöhl (Phytoplankton) Sedimentation Chamber; coccolithophores: Utermöhl (Phytoplankton) Sedimentation Chamber; other flagellates: Utermöhl (Phytoplankton) Sedimentation Chamber,,SBE27,,,,,,,0.51,spectrofluorometry,0.1,segmented continuous-flow autoanalyzer,1.2505,this is not pigments but fluorescense. WetLabs ECO-FL,,,,,0.31,segmented continuous-flow autoanalyzer,,,,,0.2925,Turner Cyclops 7 turb,,
EMOBON_NRMCB_Wa_210831_0.2um_blank,EMOBON_NRMCBWa_20210831_0.22um_(blank),EMOBON metagenome water sample from station NRMCB collected on 2021-08-31 size fraction 0.2-3um,32644,unidentified,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-31,NRMCB_Wa_210831,Raffaella Casotti,0000-0002-9876-4601,no_tide,<class 'float'>,blank,5.0,<class 'float'>,0.2-3,0.2,3.0,True,Niskin,Wa SOP1,,2021-08-31,Casotti minus80,-80,Casotti,,Anna Chiara Trano,,False,2021-10-18,2021-10-20,-70.0,2021-11-24,2021-11-24,,,,EMOBON00067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
